UR #	ILLOC	SR	
2198	DEC	Adv[+WA] S Never Verb O1 O2                       	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[+FIN][SLASH Adv]"Never"(Negbar[+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1""O2""Adv[+NULL][SLASH Adv]"))))))))        627	
2199	DEC	Adv[+WA] S Never Verb O1 O2 P O3                  	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[+FIN][SLASH Adv]"Never"(Negbar[+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1""O2"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))        627	
2200	DEC	Adv[+WA] S Never Verb O1 P O3                     	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[+FIN][SLASH Adv]"Never"(Negbar[+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))        627	
2201	DEC	Adv[+WA] S Never Verb P O3                        	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[+FIN][SLASH Adv]"Never"(Negbar[+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))        627	
2238	DEC	Adv[+WA] S Verb                                   	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"Adv[+NULL][SLASH Adv]"))))))        627	
2239	DEC	Adv[+WA] S Verb O1                                	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1""Adv[+NULL][SLASH Adv]"))))))        627	
2240	DEC	Adv[+WA] S Verb O1 O2                             	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1""O2""Adv[+NULL][SLASH Adv]"))))))        627	
2241	DEC	Adv[+WA] S Verb O1 O2 P O3                        	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1""O2"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))        627	
2242	DEC	Adv[+WA] S Verb O1 P O3                           	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))        627	
2243	DEC	Adv[+WA] S Verb P O3                              	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC][+WA]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))        627	
