BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
15771	DEC	S Verb O1                                         	
15772	DEC	S Verb P O3 Adv                                   	
15773	DEC	S Verb P O3                                       	
15774	DEC	S Verb                                            	
18420	DEC	S Aux Never Verb Adv                              	
18421	DEC	S Aux Never Verb O1 Adv                           	
18422	DEC	S Aux Never Verb O1 O2 Adv                        	
18423	DEC	S Aux Never Verb O1 O2 P O3 Adv                   	
18424	DEC	S Aux Never Verb O1 O2 P O3                       	
18425	DEC	S Aux Never Verb O1 O2                            	
18426	DEC	S Aux Never Verb O1 P O3 Adv                      	
18427	DEC	S Aux Never Verb O1 P O3                          	
18428	DEC	S Aux Never Verb O1                               	
18429	DEC	S Aux Never Verb P O3 Adv                         	
18430	DEC	S Aux Never Verb P O3                             	
18431	DEC	S Aux Never Verb                                  	
18432	DEC	S Aux Not Verb Adv                                	
18433	DEC	S Aux Not Verb O1 Adv                             	
18434	DEC	S Aux Not Verb O1 O2 Adv                          	
18435	DEC	S Aux Not Verb O1 O2 P O3 Adv                     	
18436	DEC	S Aux Not Verb O1 O2 P O3                         	
18437	DEC	S Aux Not Verb O1 O2                              	
18438	DEC	S Aux Not Verb O1 P O3 Adv                        	
18439	DEC	S Aux Not Verb O1 P O3                            	
18440	DEC	S Aux Not Verb O1                                 	
18441	DEC	S Aux Not Verb P O3 Adv                           	
18442	DEC	S Aux Not Verb P O3                               	
18443	DEC	S Aux Not Verb                                    	
18444	DEC	S Aux Verb Adv                                    	
18445	DEC	S Aux Verb O1 Adv                                 	
18446	DEC	S Aux Verb O1 O2 Adv                              	
18447	DEC	S Aux Verb O1 O2 P O3 Adv                         	
18448	DEC	S Aux Verb O1 O2 P O3                             	
18449	DEC	S Aux Verb O1 O2                                  	
18450	DEC	S Aux Verb O1 P O3 Adv                            	
18451	DEC	S Aux Verb O1 P O3                                	
18452	DEC	S Aux Verb O1                                     	
18453	DEC	S Aux Verb P O3 Adv                               	
18454	DEC	S Aux Verb P O3                                   	
18455	DEC	S Aux Verb                                        	
18516	DEC	S Never Verb Adv                                  	
18517	DEC	S Never Verb O1 Adv                               	
18518	DEC	S Never Verb O1 O2 Adv                            	
18519	DEC	S Never Verb O1 O2 P O3 Adv                       	
18520	DEC	S Never Verb O1 O2 P O3                           	
18521	DEC	S Never Verb O1 O2                                	
18522	DEC	S Never Verb O1 P O3 Adv                          	
18523	DEC	S Never Verb O1 P O3                              	
18524	DEC	S Never Verb O1                                   	
18525	DEC	S Never Verb P O3 Adv                             	
18526	DEC	S Never Verb P O3                                 	
18527	DEC	S Never Verb                                      	
18587	DEC	S Verb Adv                                        	
18588	DEC	S Verb O1 Adv                                     	
18589	DEC	S Verb O1 O2 Adv                                  	
18590	DEC	S Verb O1 O2 P O3 Adv                             	
18591	DEC	S Verb O1 O2 P O3                                 	
18592	DEC	S Verb O1 O2                                      	
18593	DEC	S Verb O1 P O3 Adv                                	
18594	DEC	S Verb O1 P O3                                    	
18595	DEC	S Verb O1                                         	
18596	DEC	S Verb P O3 Adv                                   	
18597	DEC	S Verb P O3                                       	
18598	DEC	S Verb                                            	
23500	IMP	Never Verb Adv                                    	
23501	IMP	Never Verb O1 Adv                                 	
23502	IMP	Never Verb O1 O2 Adv                              	
23503	IMP	Never Verb O1 O2 P O3 Adv                         	
23504	IMP	Never Verb O1 O2 P O3                             	
23505	IMP	Never Verb O1 O2                                  	
23506	IMP	Never Verb O1 P O3 Adv                            	
23507	IMP	Never Verb O1 P O3                                	
23508	IMP	Never Verb O1                                     	
23509	IMP	Never Verb P O3 Adv                               	
23510	IMP	Never Verb P O3                                   	
23511	IMP	Never Verb                                        	
23512	IMP	Not Verb Adv                                      	
23513	IMP	Not Verb O1 Adv                                   	
23514	IMP	Not Verb O1 O2 Adv                                	
23515	IMP	Not Verb O1 O2 P O3 Adv                           	
23516	IMP	Not Verb O1 O2 P O3                               	
23517	IMP	Not Verb O1 O2                                    	
23518	IMP	Not Verb O1 P O3 Adv                              	
23519	IMP	Not Verb O1 P O3                                  	
23520	IMP	Not Verb O1                                       	
23521	IMP	Not Verb P O3 Adv                                 	
23522	IMP	Not Verb P O3                                     	
23523	IMP	Not Verb                                          	
23524	IMP	Verb Adv                                          	
23525	IMP	Verb O1 Adv                                       	
23526	IMP	Verb O1 O2 Adv                                    	
23527	IMP	Verb O1 O2 P O3 Adv                               	
23528	IMP	Verb O1 O2 P O3                                   	
23529	IMP	Verb O1 O2                                        	
23530	IMP	Verb O1 P O3 Adv                                  	
23531	IMP	Verb O1 P O3                                      	
23532	IMP	Verb O1                                           	
23533	IMP	Verb P O3 Adv                                     	
23534	IMP	Verb P O3                                         	
23535	IMP	Verb                                              	
23788	Q  	Aux S Never Verb Adv                              	
23789	Q  	Aux S Never Verb O1 Adv                           	
23790	Q  	Aux S Never Verb O1 O2 Adv                        	
23791	Q  	Aux S Never Verb O1 O2 P O3 Adv                   	
23792	Q  	Aux S Never Verb O1 O2 P O3                       	
23793	Q  	Aux S Never Verb O1 O2                            	
23794	Q  	Aux S Never Verb O1 P O3 Adv                      	
23795	Q  	Aux S Never Verb O1 P O3                          	
23796	Q  	Aux S Never Verb O1                               	
23797	Q  	Aux S Never Verb P O3 Adv                         	
23798	Q  	Aux S Never Verb P O3                             	
23799	Q  	Aux S Never Verb                                  	
23800	Q  	Aux S Not Verb Adv                                	
23801	Q  	Aux S Not Verb O1 Adv                             	
23802	Q  	Aux S Not Verb O1 O2 Adv                          	
23803	Q  	Aux S Not Verb O1 O2 P O3 Adv                     	
23804	Q  	Aux S Not Verb O1 O2 P O3                         	
23805	Q  	Aux S Not Verb O1 O2                              	
23806	Q  	Aux S Not Verb O1 P O3 Adv                        	
23807	Q  	Aux S Not Verb O1 P O3                            	
23808	Q  	Aux S Not Verb O1                                 	
23809	Q  	Aux S Not Verb P O3 Adv                           	
23810	Q  	Aux S Not Verb P O3                               	
23811	Q  	Aux S Not Verb                                    	
23812	Q  	Aux S Verb Adv                                    	
23813	Q  	Aux S Verb O1 Adv                                 	
23814	Q  	Aux S Verb O1 O2 Adv                              	
23815	Q  	Aux S Verb O1 O2 P O3 Adv                         	
23816	Q  	Aux S Verb O1 O2 P O3                             	
23817	Q  	Aux S Verb O1 O2                                  	
23818	Q  	Aux S Verb O1 P O3 Adv                            	
23819	Q  	Aux S Verb O1 P O3                                	
23820	Q  	Aux S Verb O1                                     	
23821	Q  	Aux S Verb P O3 Adv                               	
23822	Q  	Aux S Verb P O3                                   	
23823	Q  	Aux S Verb                                        	
34868	Q  	Adv[+WH] Aux S Never Verb                         	
34869	Q  	Adv[+WH] Aux S Never Verb O1                      	
34870	Q  	Adv[+WH] Aux S Never Verb O1 O2                   	
34871	Q  	Adv[+WH] Aux S Never Verb O1 O2 P O3              	
34872	Q  	Adv[+WH] Aux S Never Verb O1 P O3                 	
34873	Q  	Adv[+WH] Aux S Never Verb P O3                    	
34874	Q  	Adv[+WH] Aux S Not Verb                           	
34875	Q  	Adv[+WH] Aux S Not Verb O1                        	
34876	Q  	Adv[+WH] Aux S Not Verb O1 O2                     	
34877	Q  	Adv[+WH] Aux S Not Verb O1 O2 P O3                	
34878	Q  	Adv[+WH] Aux S Not Verb O1 P O3                   	
34879	Q  	Adv[+WH] Aux S Not Verb P O3                      	
34880	Q  	Adv[+WH] Aux S Verb                               	
34881	Q  	Adv[+WH] Aux S Verb O1                            	
34882	Q  	Adv[+WH] Aux S Verb O1 O2                         	
34883	Q  	Adv[+WH] Aux S Verb O1 O2 P O3                    	
34884	Q  	Adv[+WH] Aux S Verb O1 P O3                       	
34885	Q  	Adv[+WH] Aux S Verb P O3                          	
47412	Q  	O1[+WH] Aux S Never Verb Adv                      	
47413	Q  	O1[+WH] Aux S Never Verb O2 Adv                   	
47414	Q  	O1[+WH] Aux S Never Verb O2 P O3 Adv              	
47415	Q  	O1[+WH] Aux S Never Verb O2 P O3                  	
47416	Q  	O1[+WH] Aux S Never Verb O2                       	
47417	Q  	O1[+WH] Aux S Never Verb P O3 Adv                 	
47418	Q  	O1[+WH] Aux S Never Verb P O3                     	
47419	Q  	O1[+WH] Aux S Never Verb                          	
47420	Q  	O1[+WH] Aux S Not Verb Adv                        	
47421	Q  	O1[+WH] Aux S Not Verb O2 Adv                     	
47422	Q  	O1[+WH] Aux S Not Verb O2 P O3 Adv                	
47423	Q  	O1[+WH] Aux S Not Verb O2 P O3                    	
