UR #	ILLOC	SR	
854	DEC	Adv S Never Verb O1 O2                            	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[+FIN][SLASH Adv]"Never"(Negbar[+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1""O2""Adv[+NULL][SLASH Adv]"))))))))        611	
855	DEC	Adv S Never Verb O1 O2 P O3                       	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[+FIN][SLASH Adv]"Never"(Negbar[+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1""O2"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))        611	
856	DEC	Adv S Never Verb O1 P O3                          	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[+FIN][SLASH Adv]"Never"(Negbar[+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))        611	
857	DEC	Adv S Never Verb P O3                             	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](NegP[+FIN][SLASH Adv]"Never"(Negbar[+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))        611	
894	DEC	Adv S Verb                                        	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"Adv[+NULL][SLASH Adv]"))))))        611	
895	DEC	Adv S Verb O1                                     	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1""Adv[+NULL][SLASH Adv]"))))))        611	
896	DEC	Adv S Verb O1 O2                                  	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1""O2""Adv[+NULL][SLASH Adv]"))))))        611	
897	DEC	Adv S Verb O1 O2 P O3                             	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1""O2"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))        611	
898	DEC	Adv S Verb O1 P O3                                	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")"O1"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))        611	
899	DEC	Adv S Verb P O3                                   	(CP[ILLOC DEC][+FIN]"Adv[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH Adv]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv](VP[+FIN][SLASH Adv](Vbar[+FIN][SLASH Adv](V[+FIN]"Verb[+FIN]")(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))        611	
4448	DEC	O1 S Aux Never Verb Adv                           	(CP[ILLOC DEC][+FIN]"O1[+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH O1](C[ILLOC DEC][+FIN]"THAT[+NULL]")(IP[ILLOC DEC][+FIN][SLASH O1]"S"(Ibar[ILLOC DEC][+FIN][SLASH O1](I[ILLOC DEC][+FIN]"Aux[+FIN]")(NegP[SLASH O1]"Never"(Negbar[SLASH O1](VP[SLASH O1](Vbar[SLASH O1](V"Verb")"O1[+NULL][SLASH O1]""Adv"))))))))        611	
